Column Names,CID,SMILES
fusidic-acid,3000226,CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C
hydrocortisone-hemisuccinate,16623,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O
meluadrine,3045414,CC(C)(C)NCC(C1=C(C=C(C=C1)O)Cl)O
Ro-20-1724,5087,CCCCOC1=C(C=CC(=C1)CC2CNC(=O)N2)OC
8-M-PDOT,5170952,CCC(=O)NC1CCC2=C(C1)C(=CC=C2)OC
esmolol,59768,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
labetalol,3869,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O
bopindolol,44112,CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C3=CC=CC=C3
meclocycline-sulfosalicylate,54676539,CN(C)C1C2C(C3C(=C)C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O
isofloxythepin,115193,CC(C)C1=CC2=C(C=C1)SC3=C(CC2N4CCN(CC4)CCO)C=CC(=C3)F
metaproterenol,4086,CC(C)NCC(C1=CC(=CC(=C1)O)O)O
kakonein,5281807,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O
bicuculline-(+),10237,CN1CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3
vigabatrin,5665,C=CC(CCC(=O)O)N
metitepine,4106,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC
buparvaquone,71768,CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O
galeterone,11188409,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4N5C=NC6=CC=CC=C65)C)O
racecadotril,107751,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2
famprofazone,3326,CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CN(C)C(C)CC3=CC=CC=C3
etonogestrel,6917715,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
doxycycline,54671203,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
iodixanol,3724,CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
L-Theanine,439378,CCNC(=O)CCC(C(=O)O)N
CID-5458317,155903705,C1CCC(CC1)NC2=C3C=CC=CC3=C(C2=CC4=CC=CC=C4)O
alfuzosin,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
amyleine,10767,CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1
strychnine,441071,C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75
norethindrone-acetate,5832,CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C
ioxilan,3743,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCCO)I
mebeverine,4031,CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC
flecainide,3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
verapamil,2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
8-bromo-cAMP,32014,C1C2C(C(C(O2)N3C4=NC=NC(=C4N=C3Br)N)O)OP(=O)(O1)O
cyclophosphamide,2907,C1CNP(=O)(OC1)N(CCCl)CCCl
boceprevir,10324367,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C
SKF-81297,1218,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3
etilefrine,3306,CCNCC(C1=CC(=CC=C1)O)O
tipranavir,54682461,CCCC1(CC(=C(C(=O)O1)C(CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4
propranolol,4946,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
adenosine-phosphate,6083,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
cyclopiazonic-acid,54682463,CC(=O)C1=C(C2C3C(CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O
GSK429286A,11373846,CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F
fosfomycin,446987,CC1C(O1)P(=O)(O)O
prenylamine,9801,CC(CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
efaroxan,72016,CCC1(CC2=CC=CC=C2O1)C3=NCCN3
imiloxan,133621,CCN1C=CN=C1CC2COC3=CC=CC=C3O2
granisetron,5284566,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C
carvedilol,2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
carbazochrome,2557,CN1CC(C2=CC(=C(C=C21)O)N=NC(=O)N)O
nadide,5892,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
dehydrocholate-acid,6674,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C
meparfylon,6494,CCC(C)(C#C)O
BAY-85-8050,24786230,C(C(C(=O)O)N)C(C(=O)O)F
enilconazole,37175,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl
AM-92016,133104,CN(CCC1=CC(=C(C=C1)Cl)Cl)CC(COC2=CC=C(C=C2)NS(=O)(=O)C)O.C1=CC=C(C=C1)C(=O)O
proscillaridin-a,222154,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
lorazepam,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
cefepime,5479537,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
nutlin-3,216345,CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl
L-Citrulline,9750,C(CC(C(=O)O)N)CNC(=O)N
usniacin-(+),24211,CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O
L-Hydroxyproline,5810,C1C(CNC1C(=O)O)O
cisapride,6917698,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
pomalidomide,134780,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
troglitazone,5591,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
fluorometholone,9878,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
doxazosin,3157,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
perillyl-alcohol,369312,CC(=C)C1CCC(=CC1)CO
ornithine,6262,C(CC(C(=O)O)N)CN
sulindac,1548887,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
TC1,155903756,C1C2C3C4C1C5C2C6C3C4C5(N6CCC7=CC(=CC=C7)F)O
oxyphenonium,5749,CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
octopamine,4581,C1=CC(=CC=C1C(CN)O)O
guanadrel,38521,C1CCC2(CC1)OCC(O2)CN=C(N)N
SN-6,10222761,CCOC(=O)C1CSC(N1)CC2=CC=C(C=C2)OCC3=CC=C(C=C3)[N+](=O)[O-]
IDRA-21,3688,CC1NC2=C(C=C(C=C2)Cl)S(=O)(=O)N1
mesoridazine,4078,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
UB-165,4694339,C1CC2CCC(N2)C(=C1)C3=CN=C(C=C3)Cl
norgestrel,13109,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
dofequidar,213040,C1CN(CCN1CC(COC2=CC=CC3=C2C=CC=N3)O)C(=O)C(C4=CC=CC=C4)C5=CC=CC=C5
alaproclate,2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N
diadenosine-tetraphosphate,21706,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N
milnacipran,65833,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2
fluocinolone-acetonide,6215,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C
L-Cystine,67678,C(C(C(=O)O)N)SSCC(C(=O)O)N
GW-1929,6518171,CN(CCOC1=CC=C(C=C1)CC(C(=O)O)NC2=CC=CC=C2C(=O)C3=CC=CC=C3)C4=CC=CC=N4
BMY-14802,108046,C1CN(CCN1CCCC(C2=CC=C(C=C2)F)O)C3=NC=C(C=N3)F
SDZ-21009,6604875,CC(C)OC(=O)C1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)O
rebamipide,5042,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl
bucladesine,9687,CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC
indobufen,107641,CCC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O
thioctic-acid,445125,C1CSSC1CCCCC(=O)O
doramectin,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O
quinestrol,9046,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5
butoconazole,47472,C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl
BADGE,2286,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
isoxsuprine,3783,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
protirelin,638678,C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N
dehydroacetic-acid,54678494,CC1=CC(=C(C(=O)O1)C(=O)C)O
alclometasone-dipropionate,51722976,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3C2C(CC4=CC(=O)C=CC34C)Cl)O)C)C)OC(=O)CC
carprofen,2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O
BW-723C86,5311036,CC(CC1=CNC2=C1C=C(C=C2)OCC3=CC=CS3)N.Cl
MDL-72832,182585,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCNCC3COC4=CC=CC=C4O3
bambuterol,54766,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O
ibuprofen,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
trolox,40634,CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C
lenalidomide,216326,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
phensuximide,6839,CN1C(=O)CC(C1=O)C2=CC=CC=C2
methacholine,1993,CC(C[N+](C)(C)C)OC(=O)C
AGN-192403,67153403,CC(C)C1C2CCC(C2)C1N
bevantolol,2372,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O
malic-acid,222656,C(C(C(=O)O)O)C(=O)O
tazobactam,123630,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3
cyanocobalamin,5311498,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
idazoxan,54459,C1CN=C(N1)C2COC3=CC=CC=C3O2
BAX-channel-blocker,981054,C1CN(CCN1)CC(CN2C3=C(C=C(C=C3)Br)C4=C2C=CC(=C4)Br)O
7-hydroxy-DPAT,23928184,CCCN(CCC)C1CCC2=C(C1)C=C(C=C2)O
naltriben,5486827,C1CC1CN2CCC34C5C6=C(CC3(C2CC7=C4C(=C(C=C7)O)O5)O)C8=CC=CC=C8O6
trimipramine,5584,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
methylphenidate,4158,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
perhexiline,4746,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3
mianserin,4184,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
ondansetron,4595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
atovaquone,74989,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O
closantel,42574,CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl
tuaminoheptane,5603,CCCCCC(C)N
mecamylamine,4032,CC1(C2CCC(C2)C1(C)NC)C
chlormezanone,2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
halothane,3562,C(C(F)(F)F)(Cl)Br
canrenone,13789,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC45CCC(=O)O5)C
prasterone-acetate,14709,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4=O)C)C
plovamer-acetate,6057,C1=CC(=CC=C1CC(C(=O)O)N)O
cefmenoxime,9570757,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
"2,6-dimethylpiperidine",68843,CC1CCCC(N1)C
medetomidine,68602,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C
praziquantel,4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
amlodipine,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
sulmazole,5353,COC1=C(C=CC(=C1)S(=O)C)C2=NC3=C(N2)C=CC=N3
phenothrin,4767,CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C
estropipate,5284555,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O.C1CNCCN1
tridihexethyl,20299,CC[N+](CC)(CC)CCC(C1CCCCC1)(C2=CC=CC=C2)O
terazosin,5401,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC
drofenine,3166,CCN(CC)CCOC(=O)C(C1CCCCC1)C2=CC=CC=C2
benfluorex,2318,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2
pantoprazole,4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
licarbazepine,114709,C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O
SB-205384,197690,CC#CCOC(=O)C1=C(N=C2C(=C1N)C3=C(S2)CC(CC3)O)C
homochlorcyclizine,3627,CN1CCCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
tenoxicam,54677971,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3
itraconazole,55283,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
pheniramine,4761,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2
sclareol,163263,CC1(CCCC2(C1CCC(C2CCC(C)(C=C)O)(C)O)C)C
sibutramine,5210,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C
rifampin,135398735,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C
saclofen,122150,C1=CC(=CC=C1C(CN)CS(=O)(=O)O)Cl
ifenprodil,3689,CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3
ofloxacin,4583,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
anabasine,2181,C1CCNC(C1)C2=CN=CC=C2
troleandomycin,202225,CC1CC(C(C(O1)OC2C(CC3(CO3)C(=O)C(C(C(C(OC(=O)C(C(C2C)OC4CC(C(C(O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)N(C)C
nadifloxacin,4410,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O
warfarin,54678486,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
nornicotine,412,C1CC(NC1)C2=CN=CC=C2
efatutazone,9832447,CC1=CC(=CC(=C1N)C)OC2=CC3=C(C=C2)N=C(N3C)COC4=CC=C(C=C4)CC5C(=O)NC(=O)S5
isoetharine,3762,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
erastin,11214940,CCOC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N4CCN(CC4)C(=O)COC5=CC=C(C=C5)Cl
hydrocortisone-valerate,5282494,CCCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO
aminoglutethimide,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
KI-16425,10367662,CC1=NOC(=C1NC(=O)OC(C)C2=CC=CC=C2Cl)C3=CC=C(C=C3)CSCCC(=O)O
narasin,65452,CCC(C1C(CC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C)C(=O)O
fadrozole,59693,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N
emetine,10219,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC
L-Cysteinesulfinic-acid,1549098,C(C(C(=O)O)N)S(=O)O
zaldaride,65909,CC1(C2=CC=CN2C3=CC=CC=C3CO1)CN4CCC(CC4)N5C6=CC=CC=C6NC5=O
propafenone,4932,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
chlorthalidone,2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
ergonovine,443884,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
formestane,11273,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O
saquinavir,441243,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O
nicardipine,4474,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
isamoltane,127403,CC(C)NCC(COC1=CC=CC=C1N2C=CC=C2)O.Cl
diarylpropionitrile,102614,C1=CC(=CC=C1CC(C#N)C2=CC=C(C=C2)O)O
atropine,174174,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
cyclandelate,2893,CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O
lestaurtinib,126565,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
tolperisone,5511,CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2
alexidine,2090,CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N
prednisolone,5755,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O
